,Date,season,week
0,2024-09-23,2024,3
1,2024-09-22,2024,3
2,2024-09-19,2024,3
3,2024-09-16,2024,2
4,2024-09-15,2024,2
5,2024-09-12,2024,2
6,2024-09-09,2024,1
7,2024-09-08,2024,1
8,2024-09-06,2024,1
9,2024-09-05,2024,1
10,2024-02-11,2023,23
11,2024-01-28,2023,21
12,2024-01-21,2023,20
13,2024-01-20,2023,20
14,2024-01-15,2023,19
15,2024-01-14,2023,19
16,2024-01-13,2023,19
17,2024-01-07,2023,18
18,2024-01-06,2023,18
19,2023-12-31,2023,17
20,2023-12-30,2023,17
21,2023-12-28,2023,17
22,2023-12-25,2023,16
23,2023-12-24,2023,16
24,2023-12-23,2023,16
25,2023-12-21,2023,16
26,2023-12-18,2023,15
27,2023-12-17,2023,15
28,2023-12-16,2023,15
29,2023-12-14,2023,15
30,2023-12-11,2023,14
31,2023-12-10,2023,14
32,2023-12-07,2023,14
33,2023-12-04,2023,13
34,2023-12-03,2023,13
35,2023-11-30,2023,13
36,2023-11-27,2023,12
37,2023-11-26,2023,12
38,2023-11-24,2023,12
39,2023-11-23,2023,12
40,2023-11-20,2023,11
41,2023-11-19,2023,11
42,2023-11-16,2023,11
43,2023-11-13,2023,10
44,2023-11-12,2023,10
45,2023-11-09,2023,10
46,2023-11-06,2023,9
47,2023-11-05,2023,9
48,2023-11-02,2023,9
49,2023-10-30,2023,8
50,2023-10-29,2023,8
51,2023-10-26,2023,8
52,2023-10-23,2023,7
53,2023-10-22,2023,7
54,2023-10-19,2023,7
55,2023-10-16,2023,6
56,2023-10-15,2023,6
57,2023-10-12,2023,6
58,2023-10-09,2023,5
59,2023-10-08,2023,5
60,2023-10-05,2023,5
61,2023-10-02,2023,4
62,2023-10-01,2023,4
63,2023-09-28,2023,4
64,2023-09-25,2023,3
65,2023-09-24,2023,3
66,2023-09-21,2023,3
67,2023-09-18,2023,2
68,2023-09-17,2023,2
69,2023-09-14,2023,2
70,2023-09-11,2023,1
71,2023-09-10,2023,1
72,2023-09-07,2023,1
73,2023-02-12,2022,23
74,2023-01-29,2022,21
75,2023-01-22,2022,20
76,2023-01-21,2022,20
77,2023-01-16,2022,19
78,2023-01-15,2022,19
79,2023-01-14,2022,19
80,2023-01-08,2022,18
81,2023-01-07,2022,18
82,2023-01-01,2022,17
83,2022-12-29,2022,17
84,2022-12-26,2022,16
85,2022-12-25,2022,16
86,2022-12-24,2022,16
87,2022-12-22,2022,16
88,2022-12-19,2022,15
89,2022-12-18,2022,15
90,2022-12-17,2022,15
91,2022-12-15,2022,15
92,2022-12-12,2022,14
93,2022-12-11,2022,14
94,2022-12-08,2022,14
95,2022-12-05,2022,13
96,2022-12-04,2022,13
97,2022-12-01,2022,13
98,2022-11-28,2022,12
99,2022-11-27,2022,12
100,2022-11-24,2022,12
101,2022-11-21,2022,11
102,2022-11-20,2022,11
103,2022-11-17,2022,11
104,2022-11-14,2022,10
105,2022-11-13,2022,10
106,2022-11-10,2022,10
107,2022-11-07,2022,9
108,2022-11-06,2022,9
109,2022-11-03,2022,9
110,2022-10-31,2022,8
111,2022-10-30,2022,8
112,2022-10-27,2022,8
113,2022-10-24,2022,7
114,2022-10-23,2022,7
115,2022-10-20,2022,7
