,Date,season,week
0,2015-09-10,2025,1
0,2015-09-13,2025,1
0,2015-09-14,2025,1
0,2015-09-17,2025,2
0,2015-09-20,2025,2
0,2015-09-21,2025,2
0,2015-09-24,2025,3
0,2015-09-27,2025,3
0,2015-09-28,2025,3
0,2015-10-01,2025,4
0,2015-10-04,2025,4
0,2015-10-05,2025,4
0,2015-10-08,2025,5
0,2015-10-11,2025,5
0,2015-10-12,2025,5
0,2015-10-15,2025,6
0,2015-10-18,2025,6
0,2015-10-19,2025,6
0,2015-10-22,2025,7
0,2015-10-25,2025,7
0,2015-10-26,2025,7
0,2015-10-29,2025,8
0,2015-11-01,2025,8
0,2015-11-02,2025,8
0,2015-11-05,2025,9
0,2015-11-08,2025,9
0,2015-11-09,2025,9
0,2015-11-12,2025,10
0,2015-11-15,2025,10
0,2015-11-16,2025,10
0,2015-11-19,2025,11
0,2015-11-22,2025,11
0,2015-11-23,2025,11
0,2015-11-26,2025,12
0,2015-11-29,2025,12
0,2015-11-30,2025,12
0,2015-12-03,2025,13
0,2015-12-06,2025,13
0,2015-12-07,2025,13
0,2015-12-10,2025,14
0,2015-12-13,2025,14
0,2015-12-14,2025,14
0,2015-12-17,2025,15
0,2015-12-19,2025,15
0,2015-12-20,2025,15
0,2015-12-21,2025,15
0,2015-12-24,2025,16
0,2015-12-26,2025,16
0,2015-12-27,2025,16
0,2015-12-28,2025,16
0,2016-01-03,2025,17
0,2016-09-08,2025,1
0,2016-09-11,2025,1
0,2016-09-12,2025,1
0,2016-09-15,2025,2
0,2016-09-18,2025,2
0,2016-09-19,2025,2
0,2016-09-22,2025,3
0,2016-09-25,2025,3
0,2016-09-26,2025,3
0,2016-09-29,2025,4
0,2016-10-02,2025,4
0,2016-10-03,2025,4
0,2016-10-06,2025,5
0,2016-10-09,2025,5
0,2016-10-10,2025,5
0,2016-10-13,2025,6
0,2016-10-16,2025,6
0,2016-10-17,2025,6
0,2016-10-20,2025,7
0,2016-10-23,2025,7
0,2016-10-24,2025,7
0,2016-10-27,2025,8
0,2016-10-30,2025,8
0,2016-10-31,2025,8
0,2016-11-03,2025,9
0,2016-11-06,2025,9
0,2016-11-07,2025,9
0,2016-11-10,2025,10
0,2016-11-13,2025,10
0,2016-11-14,2025,10
0,2016-11-17,2025,11
0,2016-11-20,2025,11
0,2016-11-21,2025,11
0,2016-11-24,2025,12
0,2016-11-27,2025,12
0,2016-11-28,2025,12
0,2016-12-01,2025,13
0,2016-12-04,2025,13
0,2016-12-05,2025,13
0,2016-12-08,2025,14
0,2016-12-11,2025,14
0,2016-12-12,2025,14
0,2016-12-15,2025,15
0,2016-12-17,2025,15
