iter	Passed	Remaining
0	2	233
1	4	231
2	9	293
3	11	269
4	13	252
5	15	244
6	17	233
7	19	222
8	21	220
9	24	221
10	26	213
11	28	207
12	30	205
13	32	202
14	35	200
15	39	209
16	42	205
17	45	205
18	47	203
19	50	202
20	55	209
21	58	207
22	61	205
23	63	202
24	66	199
25	70	202
26	73	198
27	75	194
28	77	190
29	80	187
30	85	190
31	88	188
32	91	184
33	93	181
34	95	178
35	101	180
36	104	178
37	107	174
38	109	171
39	112	168
40	116	167
41	118	164
42	120	160
43	122	156
44	124	152
45	126	148
46	129	146
47	132	143
48	134	139
49	136	136
50	138	132
51	139	129
52	141	125
53	144	123
54	147	120
55	149	117
56	151	114
57	153	111
58	155	108
59	157	104
60	159	102
61	162	99
62	164	96
63	166	93
64	168	90
65	170	87
66	172	84
67	174	82
68	177	79
69	180	77
70	182	74
71	185	71
72	187	69
73	189	66
74	193	64
75	195	61
76	197	58
77	199	56
78	201	53
79	203	50
80	205	48
81	208	45
82	210	43
83	212	40
84	214	37
85	216	35
86	218	32
87	220	30
88	223	27
89	225	25
90	227	22
91	229	19
92	231	17
93	233	14
94	235	12
95	239	9
96	241	7
97	243	4
98	245	2
99	247	0
